Moonlight Serenade,Benny Golson 
Night and Day,Benny Golson 
On The Sunny Side Of The Street,Benny Golson 
Penthouse Serenade,Benny Golson 
Poinciana,Benny Golson 
Round Midnight,Benny Golson 
Ruby My Dear,Benny Golson 
Samba De Orpheu,Benny Golson 
Satin Doll,Benny Golson 
Song For My Father,Benny Golson 
Sophisticated Lady,Benny Golson 
Stardust,Benny Golson 
Stella By Starlight,Benny Golson 
Sugar,Benny Golson 
Summertime,Benny Golson 
Take Five,Benny Golson 
Take The A Train,Benny Golson 
Tea For Two,Benny Golson 
Tenderly,Benny Golson 
The Girl From Ipanema,Benny Golson 
There Will Never Be Another You,Benny Golson 
These Foolish Things,Benny Golson 
They Can't Take That Away from Me,Benny Golson 
Three Little Words,Benny Golson 
Watermelon Man,Benny Golson 
Wave,Benny Golson 
West Coast Blues,Benny Golson 
What Is This Thing Called Love,Benny Golson 
You’re Driving Me Crazy,Benny Golson 
'Round Midnight,Benny Goodman
A Child is Born,Benny Goodman
A Foggy Day,Benny Goodman
A Song For My Father,Benny Goodman
All Blues,Benny Goodman
All Of Me,Benny Goodman
All The Things You Are,Benny Goodman
Almost Like Being In Love,Benny Goodman
Autumn Leaves,Benny Goodman
Begin the Beguine,Benny Goodman
Black Orpheus (Manhã de Carnaval),Benny Goodman
Bluesette,Benny Goodman
Body And Soul,Benny Goodman
But Not For Me,Benny Goodman
Bye Bye Blackbird,Benny Goodman
C Jam Blues,Benny Goodman
Cantaloupe Island,Benny Goodman
Caravan,Benny Goodman
Cheek to cheek,Benny Goodman
Cherokee,Benny Goodman
Corner Pocket,Benny Goodman
Dear Old Stockholm,Benny Goodman
Desafinado,Benny Goodman
Don't Get Around Much Anymore,Benny Goodman
Easy To Love,Benny Goodman
Everytime We Say Goodbye,Benny Goodman
Fly Me To The Moon,Benny Goodman
Garota de Ipanema,Benny Goodman
Honeysuckle Rose,Benny Goodman
How High The Moon,Benny Goodman
I Got Rhythm,Benny Goodman
I Remember Clifford,Benny Goodman
I'm Gonna Sit Right Down and Write Myself a Letter,Benny Goodman
I've Got You Under my Skin,Benny Goodman
In A Mellow Tone,Benny Goodman
In A Sentimental Mood,Benny Goodman
Just You Just me,Benny Goodman
Love for Sale,Benny Goodman
Lullaby Of Birdland,Benny Goodman
Misty,Benny Goodman
Moanin',Benny Goodman
Moonlight Serenade,Benny Goodman
Night and Day,Benny Goodman
On The Sunny Side Of The Street,Benny Goodman
Penthouse Serenade,Benny Goodman
Poinciana,Benny Goodman
Round Midnight,Benny Goodman
Ruby My Dear,Benny Goodman
Samba De Orpheu,Benny Goodman
Satin Doll,Benny Goodman
Song For My Father,Benny Goodman
Sophisticated Lady,Benny Goodman
Stardust,Benny Goodman
Stella By Starlight,Benny Goodman
Sugar,Benny Goodman
Summertime,Benny Goodman
Take Five,Benny Goodman
Take The A Train,Benny Goodman
Tea For Two,Benny Goodman
Tenderly,Benny Goodman
The Girl From Ipanema,Benny Goodman
There Will Never Be Another You,Benny Goodman
These Foolish Things,Benny Goodman
They Can't Take That Away from Me,Benny Goodman
Three Little Words,Benny Goodman
Watermelon Man,Benny Goodman
Wave,Benny Goodman
West Coast Blues,Benny Goodman
What Is This Thing Called Love,Benny Goodman
You’re Driving Me Crazy,Benny Goodman
'Round Midnight,Bill Evans
A Child is Born,Bill Evans
A Foggy Day,Bill Evans
A Song For My Father,Bill Evans
All Blues,Bill Evans
All Of Me,Bill Evans
All The Things You Are,Bill Evans
